[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[02:05:28 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7773458140d42e9e1a857db404583ba30857dedb0fdbadb5b9811eb1ee66566e
[02:08:31 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[02:08:34 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:17 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x7b4f5efa5aa0ca143b1c7d5414ca3f696c26db40675c21e2fcd7d7598de2d891
[09:15:29 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x50cb82caf4b38c17f749b11776be06fb205bf9dbaa61acd3cd99ae8eb724decf
[09:18:36 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:18:44 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:01 | 14-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x38a898d9736d5ba99f6fc98bd57789c41080116792ec6d691f442cc2e70b4b0c
[09:15:13 | 14-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6de88d4f0f70462151b8a22b7b19e34fbd733974225b4d85cd5adfd2ffcac849
[09:18:16 | 14-02-2025] Transfer Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[09:18:19 | 14-02-2025] Bridge Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[08:26:12 | 15-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x7ddb1de7006665a07877cdaf430bc90c8c0c32a9f7051ba352d93a5385091078
[08:26:25 | 15-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x2fe5b3b45726d413b5bd9616629329fade800315c6902a199444204e4654d385
[08:29:28 | 15-02-2025] Transfer Task successful for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[08:29:31 | 15-02-2025] Bridge Task successful for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[09:18:41 | 16-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x8e5f34d4bff25ab9f6f6b4136be568cdf8fa86e31087a3baa72e2bd616242228
[09:18:49 | 16-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xf71237dcedd569d61d2344ae1b7a697f4a1e13f0d35ec1ac5e804fd3d7b05092
[09:21:52 | 16-02-2025] Transfer Task successful for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[09:21:55 | 16-02-2025] Bridge Task successful for 0xEf5878b86336Fe18588B00aDddaDB4de6Cb3EB45
[09:16:18 | 17-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x944613560ca34dd94d1b081a5490749c685fbfa384509bc8250bc74601468f12
[09:16:37 | 17-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x32059c80a6d938f790ef320f30e91986831862c32ee6f35db7590d5e8468c0af
